Títol,Ciutat,Barri,Descripció breu,m2,Habitacions,Lavabos,Preu m2,Preu
Alquiler Casa adosada  en  Arxiu-Estació,Sant Cugat del Vallès,Arxiu-Estació,"101 Pisos presenta este inmueble recién reformado apto para vivienda como para oficinas en frente de la estación fcc, ad...",200,4,3,14,2.900
Alquiler Casa  en  Bellaterra. Encantadora casa en alquiler cerca de la estación bellaterra,Bellaterra,,A cuatro minutos andando desde la estación de Bellaterra encontramos esta encantadora casa de estilo rústico catalán. To...,399,7,5,8,3.500
Alquiler Casa pareada  Valldoreix,Sant Cugat del Vallès,Arxiu-Estació,"Inmueble de diseño actual, ideal tanto para vivienda como para oficinas o sede corporativa, ubicada justo en frente de l...",200,4,3,14,2.900
Alquiler Piso  en  Coll Favà. Alquiler piso en coll favà de 3 habitaciones en sant cugat del v,Sant Cugat del Vallès,Coll Favà,Alquiler piso en Coll Favà de 3 habitaciones en Sant Cugat del Vallès Estupendo piso en una zona inmejorable de Coll Fa...,107,3,2,11,1.250
Alquiler Casa  Pla. Casa en alquiler con jardín y piscina en mira-sol,Sant Cugat del Vallès,Mira-sol,Ubicada en la zona de Mira-sol cerca de la estación de ferrocarriles de Hospital General encontramos esta magnífica casa...,536,6,6,8,4.450
Alquiler Casa  en  Centre - Estació. Casa con terraza en el centro de sant cugat del vallés,Sant Cugat del Vallès,Centre - Estació,"Casa moderna de 114m² en una calle peatonal de Sant Cugat, distribuida en tres plantas.  El acceso a la vivienda es a...",114,3,2,14,1.700
Alquiler Casa pareada  Primavera,Cerdanyola del Vallès,Sant Ramón,"Magnífica casa ubicada en la zona residencial Ateneo-Martinica, emplazamiento realmente privilegiado que se encuentra ju...",185,4,3,8,1.500
Alquiler Piso  en  Parc Central. Piso de 3 habitaciones totalmente reformado,Sant Cugat del Vallès,Parc Central,ÍNDICE DE REFERENCIA 16.28€/m2. Fantástico piso totalmente renovado en el Parc Central. Se encuentra en una ubicación pr...,90,3,2,18,1.650
Alquiler Casa  en  Bellaterra. Casa de 4 habitaciones sin amueblar en bellaterra,Bellaterra,,"Ubicada en Bellaterra, encontramos esta maravillosa casa de 487m² en una parcela de 1000m² con gran jardín y muy cerca d...",487,4,5,7,3.500
Alquiler Planta baja  en  Creu Alta. Acollidora planta baixa,Sabadell,Creu Alta,Gestions Immobiliàries Nayach comercialitza pis en planta baixa a la Creu Alta.  El pis consta de d’uns 87m2 construïts...,80,2,2,10,800
Alquiler Casa  en  Ca n´Aurell. Casa con 3 habitaciones con parking y calefacción,Terrassa,Ca n´Aurell,"Referencia Bel-A560 - Casa de Lloguer reformada nova, PLANTA BAIXA CONSTA: Garatge de 75 m2 per 4 cotxes amb altell de 1...",181,3,2,8,1.450
Alquiler Dúplex  en  Creu Alta,Sabadell,Creu Alta,1086- L SBD 97M2 + 3 HAB + BALCÓN Y TERRAZA DE 32M2 CON PK   Volkvillage comercializa en exclusiva oportunidad única e...,100,3,1,10,1.050
Alquiler Casa adosada  en  Centre - Estació. Sant cugat del vallès/casa,Sant Cugat del Vallès,Centre - Estació,"Casa , con 98 m² construidos, 59 m² metros de parcela, 2 dormitorios, 1 baños, buen estado, interior, 1 armarios, 1 terr...",98,2,1,12,1.200
Alquiler Piso  Carrer de sant isidre. Vivienda lista para entrar a vivir.,Sabadell,Creu Alta,"MAWAH ASSESSORS presenta esta vivienta situada en una calle tranquila pero cerca de la Ronda Zamenhof, el Corte Inglés,...",89,3,2,10,950
Alquiler Piso  Rambla ribatallada. Amplio y luminoso piso en alquiler.,Sant Cugat del Vallès,Centre - Estació,Amplio y luminoso piso en alquiler situado en el centro de Sant Cugat (Vallès Occidental). Acabado de reformar y prepar...,114,4,2,12,1.425
Alquiler Chalet  en  Eixample. Lujoso chalet en sant cugat del vallés,Sant Cugat del Vallès,Eixample,Se alquila espectacular chalet de diseño en una de las mejores zonas de Sant Cugat. La casa construida en una parcela de...,625,5,6,7,4.500
Alquiler Piso  en  Les Arenes-La Grípia. Piso en gripia,Terrassa,Les Arenes-La Grípia,"Piso de 75 m2 en buen estado, distribuido en tres habitaciones, comedor, cocina lavadero en galería y baño completo. Do...",75,3,1,9,675
Alquiler Piso  en  Can Roca. Piso 3 habitaciones y 2 baños con terraza,Terrassa,Can Roca,"Espectacular piso semi-nuevo de 85m²  con VISTAS inmejorables a la montaña de MONTSERRAT, ubicado en la zona nueva de Po...",85,3,2,14,1.200
Alquiler Casa  en  Mira-sol. Casa amueblada de cuatro habitaciones en mirasol,Sant Cugat del Vallès,Mira-sol,"Ubicada en Mira-sol, encontramos esta maravillosa casa amueblada contruida en 2018 de 297m2 con jardín y piscina.  La...",297,4,3,13,3.900
"Alquiler Piso  en  Carrer pastora martos, 8. Nuevo. piso de 2 habs dobles",Sant Cugat del Vallès,Volpelleres,"JUNTO FGC VULLPALLERES. OBRA NUEVA A ESTRENAR.  Piso de 2 habitaciones dobles (la suite con armario empotrado), 2 baños...",68,2,2,17,1.200
Alquiler Casa  Valldoreix. Valldoreix - al costat pinar,Sant Cugat del Vallès,Golf-Can Trabal,"Preciosa casa en planta baja a 4 vientos exterior, muy luminosa y soleada en Valldoreix. Tiene 3 habitaciones (2 dobles)...",90,3,1,18,1.650
"Alquiler Piso  en  Carrer major, 8. 4habitaciones centro",Terrassa,Centre,"Piso en alquiler en El Centro de Terrassa, justo delante del H&M a 10 metros de Plaça Vella. 127,39 m2 ÚTILES distribui...",127,4,3,8,1.050
Alquiler Ático  en  Eixample-Sant Oleguer. Visitas a partir del 6 de abril,Sabadell,Eixample-Sant Oleguer,"Ático de 133 m2 construidos, distribuidos en recibidor, cocina-comedor con salida a terraza de 110 m2, salón con salida...",140,6,2,7,1.085
Alquiler Ático  en  Sant Pere. Duplex con 2 habitaciones,Terrassa,Sant Pere,"Luminoso duplex de dos habitaciones, distribuido en primera planta salón comedor con salida a balcon amplio, cocina con...",81,2,2,10,825
"Alquiler Ático  en  Carrer colom, 20. Obra nueva",Terrassa,Cementiri Vell,"Pisos nuevos en Terrassa. Viviendas a estrenar muy luminosas de 1, 2, 3 y 4 habitaciones. Grandes terrazas. Excelente ub...",88,2,2,18,1.585
Alquiler Piso  en  Carrer de l'espirall 110. ¡sin comisiones de agencia!,Sabadell,Centre,¡Sin comisiones de agencia!  Te presentamos una oportunidad única para vivir en uno de los mejores barrios de Sabadell...,109,3,2,8,970
Alquiler Piso  De dalí,Sant Quirze del Vallès,Centre,Zona: Centro (Sant Quirze del Vallès). Piso en el Centro de Sant Quirze con TERRAZA DE 40 M². Vivienda de 65 m² + Terr...,65,2,1,14,950
"Alquiler Piso  en  Carrer sant joan, 107. Pis de 3 dormitoris amb terrassa",Matadepera,,Pis de 3 dormitoris de 83m2 situat al centre de Matadepera. Situat a menys de 10 minuts caminant de les escoles Ginesta...,83,3,2,13,1.090
Alquiler Casa  Passeig nard. Espectacular 4 vientos nueva,Sant Cugat del Vallès,Valldoreix,"Fantástica casa semi/amueblada, ubicada en una de las zonas más nobles de Valldoreix. Con una parcela de 1.837m2. La ca...",450,6,5,15,6.900
Alquiler Casa  Avinguda can cortes. Única en su estilo en can cortes,Sant Cugat del Vallès,Les Planes-Sol i Aire,Torre unifamiliar única en su estilo de 1890 completamente rehabilitada preservando su estilo original adaptada al confo...,356,4,4,12,4.500
Alquiler Piso  Carrer de borrell. Piso con 3 habitaciones con ascensor y calefacción,Sabadell,Centre,"¡SIN COMISIÓN DE AGENCIA!  Vivienda seminueva de 3 dormitorios, 2 baños, cocina independiente amueblada y equipada con...",87,3,2,11,963
"Alquiler Loft  en  Carrer turull, 37. Impresionante",Sabadell,Centre,"Inmueble con acabados de alta calidad, ubicados en el centro de la ciudad, en una finca singular, una antigua fábrica  t...",240,4,3,10,2.500
Alquiler Piso  Can rull. Para entrar a vivir!!,Sabadell,Can Rull,"NOSTRALLAR alquila esta vivienda de 2 dormitorios dobles y exteriores, amplio salón-comedor exterior a balcón, cocina of...",80,2,1,9,750
Alquiler Casa  en  Bellaterra. Casa de diseño en bellaterra,Bellaterra,,"Diseño, lujo y exclusividad, son los mejores adjetivos que describen a esta espectacular vivienda de 957m2 (677 m2 útile...",960,5,5,8,8.500
Alquiler Piso  Avinguda angel sallent. Totalmente amueblado y equipado,Terrassa,Ca n´Aurell,"Excelente piso, recien reformado, acabados de diseño. Está totalmente equipado( muebles, todos los electrodomesticos, co...",105,2,2,8,850
Alquiler Casa  Tibidabo. Unifamiliar en collserola,Sant Cugat del Vallès,Les Planes-Sol i Aire,"Inmejorablemente ubicada cerca de la cima del Tibidabo, esta propiedad, sin duda única ofrece la posibilidad de vivir en...",356,4,5,12,4.500
"Alquiler Piso  en  Carrer pau casals, 16. Parking, trastero y piscina",Sant Cugat del Vallès,Torreblanca,"Magnífico piso de tres habitaciones, dos baños, uno de ellos en la habitación suite, lavadero, gran terraza con inmejora...",77,3,2,20,1.600
Alquiler Chalet  en  Mira-sol. Casa unifamiliar en alquiler en mira-sol,Sant Cugat del Vallès,Mira-sol,"Casa unifamiliar esquinera de 335m2 construidos en 3 plantas, útiles 185m2 + 133 garaje, distribuidos: Planta sótano- ga...",335,4,5,9,3.200
Alquiler Dúplex  Ca n´ aurell. Fantástico dúplex de diseño,Terrassa,Centre,Espectacular dúplex en alquiler. Disponible a partir de finales abril. Situado en un edificio emblemático y singular...,100,3,2,12,1.200
Alquiler Piso  en  Centre. En finca señorial en st. isidre,Terrassa,Centre,"El piso de 83m2 que ofrecemos, ha sido reformado con mucho gusto. Consta de 3 habitaciones (2 dobles, una individual), d...",83,3,2,10,850
Alquiler Piso  en  Creu Alta. Piso 3 habitaciones+ pk doble!!!,Sabadell,Creu Alta,"EURODITARA SERVEIS IMMOBILIARIS, comercializa FANTASTICO PISO EN SABADELL, situado en zona CREU ALTA en zona exclusiva d...",153,3,2,6,1.000
Alquiler Piso  Carrer lluna. Céntrico,Sant Cugat del Vallès,Centre - Estació,Práctico piso ubicado en pleno Centro de Sant Cugat del Vallès. Dispone de cocina -salón que comunica con balcón. Dispon...,71,2,1,15,1.100
Alquiler Casa  Carrer terranova. Espectacular de diseño,Bellaterra,,Espectacular unifamiliar de diseño de 957m2 construidos (677m2 útiles de vivienda) en parcela llana ajardinada de 2.749m...,957,5,6,8,8.500
"Alquiler Piso  Carrer de goethe. Piso de 79 m2 de 2 habitaciones, con terraza",Sabadell,Can Rull,"Piso totalmente reformado a estrenar de 79 m2, situado en planta 2ª, dispone de 2 habitaciones (1 dobles) , baño, cocina...",79,2,1,10,800
"Alquiler Ático  en  Carrer colom, 20. Obra nueva",Terrassa,Cementiri Vell,"Pisos nuevos en Terrassa. Viviendas a estrenar muy luminosas de 1, 2, 3 y 4 habitaciones. Grandes terrazas. Excelente ub...",88,2,2,18,1.585
Alquiler Casa  en  Golf-Can Trabal. Casa unifamiliar en valldoreix,Sant Cugat del Vallès,Golf-Can Trabal,Agradable casa unifamiliar de estilo rustico en Valldoreix de 337m2 en parcela de 700m2 en un entorno muy tranquilo. El...,337,4,5,11,3.800
Alquiler Casa adosada  Rambla del baixador. Adosada en mirasol con jardín,Sant Cugat del Vallès,Mira-sol,"Bonita casa adosada en Mirasol. Está muy bien situada y comunicada, a un minuto de las principales vías de comunicación,...",136,3,2,9,1.350
Alquiler Casa  en  Carrer pinyer 19. Chalet en alquiler en el golf-can trabal con jardín privado,Sant Cugat del Vallès,Torreblanca,"Diseño, lujo y exclusividad, son los mejores adjetivos que describen a esta espectacular villa de 540 m2, cuidando el má...",540,7,6,12,7.000
Alquiler Casa adosada  Passeig pardal. Casa unifamiliar en alquiler de 6 habitaciones en valldoreix,Sant Cugat del Vallès,Valldoreix,"Ubicada en una zona residencial de Valldoreix, en una exclusiva y fantástica urbanización de 5 casas encontramos esta ma...",641,6,6,9,5.900
Alquiler Piso  Carrer de barcelona. Piso de cuatro habitaciones en sant cugat centro,Sant Cugat del Vallès,Eixample,"Vivienda totalmente exterior ideal para familias, en el corazón del Eixample con salón comedor de 50m².  Listo para en...",158,4,2,14,2.250
Alquiler Casa  Avenida de madrid. Casa amueblada a 4 vientos con contrato temporal en mirasol,Sant Cugat del Vallès,Mira-sol,Típica casa de pueblo recién reformada de 100m2 totalmente equipada y amueblada rodeada de un fantastico jardín con árbo...,120,2,2,11,1.350
"Alquiler Piso  Avinguda lluís companys. Alquiler piso amoblado, cerca de la estación y cerca del centro",Sant Cugat del Vallès,Centre - Estació,"La inmobiliaria 101 pisos presenta en alquiler este bonito piso amoblado, de tres habitaciones, 2 dobles y una individua...",102,3,2,11,1.130
Alquiler Casa pareada  Rambla del baixador de valldoreix. Casa pareada en alquiler de 3 habitaciones en mirasol,Sant Cugat del Vallès,Mira-sol,Ubicada en Mirasol encontramos esta casa pareada separada en dos con una escalera de acceso común recientemente reformad...,140,3,2,9,1.350
"Alquiler Casa  en  Can Casablanques. Casa esquinera 4 hab., con 250 m2 de jardín",Sant Quirze del Vallès,Can Casablanques,"Casa esquinera en la zona de Casablancas, muy próxima al centro, en zona tranquila y muy bien comunicada Dispone de jar...",199,4,2,9,1.800
"Alquiler Ático  Carretera vallvidrera. Ático con 3 habitaciones con ascensor, piscina, calefacción y ai",Sant Cugat del Vallès,Parc Central,"Piso con espectaculares vistas sobre mirasol. Piso de 3 habitaciones, 2 dobles y una individual. Salón comedor de 23m2 c...",109,3,2,13,1.500
Alquiler Piso  Major. La magia especial de vivir en el centro.,Terrassa,Ca n´Aurell,"Ref. A9084 -  Piso Exclusivo de Comprarcasa Stylehouse.    ""EXCLUSIVA VIVIENDA EN CENTRO HISTÓRICO”.     Vivienda de...",210,4,3,5,1.200
"Alquiler Chalet  Joan borras. Chalet con 6 habitaciones con parking, piscina, calefacción y ai",Sant Cugat del Vallès,Valldoreix,"¿Llega un momento en la vida que debes tomar una decisión, estas cansado de la ciudad, pero necesitas estar cerca de tu...",237,6,3,12,3.000
Alquiler Piso  Carrer del pintor sorolla. Piso en alquiler con terraza zona la cogullada,Terrassa,La Cogullada,"Precioso piso en alquiler, recién reformado muy amplio y luminoso, con una estupenda terraza para poder disfrutar del bu...",112,3,1,7,795
Alquiler Piso  Plaça de josep freixa i argemí. Piso con 5 habitaciones con ascensor y calefacción,Terrassa,Ca n´Aurell,"Piso totalmente reformado de 125 m2 construidos. Comedor, cocina, 5 habitaciones, 3 baños completos (1 en suite), lavad...",159,5,3,8,1.350
Alquiler Piso  Carrer de verdi. Piso con terraza en eixample,Sant Cugat del Vallès,Eixample,Este magnífico piso de 180 m2 totalmente amueblado y equipado está ubicado en L'Eixample de Sant Cugat en una de las mej...,181,5,3,16,3.000
Alquiler Piso  Albeniz. Piso con 2 habitaciones con ascensor,Sabadell,Can Rull,"´¡SIN GASTOS DE AGENCIA! ¡Aprovecha esta oportunidad!  Renta y gastos: 737. Renta: 678€/mes. Los gastos, IBI y tasa de...",49,2,1,15,737
Alquiler Piso  en  Can Roca. Sin balcón pero con  mucha luz,Terrassa,Can Roca,"Vivienda de 3 habitaciones ( 1 doble y dos indivisibles)  un baño con plato de ducha.
 
 Cocina con una estancia de alma...",78,3,1,9,750
Alquiler Ático  Avinguda madrid. Atico a estrenar en mirasol,Sant Cugat del Vallès,Mira-sol,"Elegante ático de obra nueva, totalmente equipado incluyendo mobiliario, electrodomésticos y menaje. Piscina comunitaria...",103,2,2,17,1.800
Alquiler Piso  en  Carrer de ramón y cajal 75. Alquiler con parquing zona escuelas,Terrassa,EscolesVer mapa,Es lloga pis d'alt standig en zona Escoles de Terrassa. Pis de recent construcció. Totalment moblat. 2 habitacions i 1 b...,60,2,1,13,790
Alquiler Ático  Av. de madrid. Ático en alquiler temporal de 3 habitaciones amueblado en miraso,Sant Cugat del Vallès,Mira-sol,Impresionante ático de 110 m² totalmente equipado y amueblado.  La zona de día consta de un luminoso salón-comedor con...,110,3,2,16,1.800
Alquiler Casa  Avinguda madrid. Amueblada con jardín mirasol,Sant Cugat del Vallès,Mira-sol,Encantadora casa unifamiliar completamente equipada incluyendo menaje. En el centro de Mirasol encontramos esta encanta...,92,2,2,14,1.350
"Alquiler Piso  en  Carrer de joanot martorell 14. Piso con ascensor, calefacción y aire acondicionado",Sabadell,GràciaVer mapa,Fantástico apartamento situado en Sabadell a poca distancia de la Gran Vía y Club Natació Sabadell.  Muy bien comunicado...,60,1,1,12,725
"Alquiler Ático  Avinguda lluís companys. Ático recién reformado en alquiler en centro - estació, sant cug",Sant Cugat del Vallès,Parc Central,Luminoso ático de 78m2 recién reformado integramente con una terraza y vistas despejadas en alquiler ubicado en excelent...,80,3,1,16,1.350
Alquiler Piso  Carrer del col.legi. Piso con 2 habitaciones con ascensor,Terrassa,Centre,"PISO SEMI-NUEVO DEL 2020 de nueva construcción  Piso de 2 habitaciónes exteriores, con nevera,  situado  200 m de la pla...",65,2,1,11,720
Alquiler Casa adosada  Passeig del vint-i-dos de juliol. Impresionante casa adosada*,Terrassa,Centre,"299-BCNPreciosa casa con mucho gusto y cerca de servicios, transportes, colegios y a 10 minutos caminando del c...",155,5,2,12,1.860
Alquiler Piso  Carretera de terrassa. Piso con 4 habitaciones con calefacción,Matadepera,,"Piso moderno, totalmente reformado de 90 m2. Tiene 4 habitaciones, dos de ellas son dobles, 2 baños con plato de ducha....",90,4,2,12,1.150
Alquiler Casa  C-243c. Preciosa casa*,Ullastrell,,240-BCN38 - Preciosa casa situada en una muy buena zona de Ullastrell y cerca de servicios y transportes.  La vivienda...,200,3,3,7,1.400
"Alquiler Piso  Col.legi, del. Las liras terrassa",Terrassa,Centre,"REF: A9452
 
 LAS LIRAS TERRASSA es un centro residencial de apartamentos tutelados para seniors, con servicios exclusiv...",58,1,1,20,1.200
Alquiler Piso  Carrer del col.legi. Piso con 2 habitaciones con ascensor,Terrassa,Centre,"PISO SEMI-NUEVO del 2021 de nueva construcción  Piso de 2 habitaciónes exteriores, con nevera,  situado  200 m de la pla...",65,2,1,11,720
Alquiler Dúplex  Carrer de pere de fizes. Dúplex con 4 habitaciones con ascensor y calefacción,Terrassa,Sant Pere,Piso de alquiler dúplex semi nuevo de 90 m2 + 15 m2 de terraza. 4 habitaciones (dos dobles y dos individuales). Cocina...,105,4,2,9,975
Alquiler Ático  Carrer de manel farrés. Parc central – elegante ático dúplex de 148m2 con magníficas vis,Sant Cugat del Vallès,Parc Central,Parc Central – Elegante ático dúplex de 148m2 con magníficas vistas y orientación sur!!! Muy buena ubicación a 5 minutos...,148,3,3,15,2.350
Alquiler Ático  en  Volpelleres. Amplio ático amueblado 3hab,Sant Cugat del Vallès,Volpelleres,AMUEBLADO. Fantástico y amplio piso en Volpelleres. Consta de 91m2 con 3 habitaciones exteriores (dos dobles con armari...,129,3,2,10,1.400
Alquiler Piso  Carretera de rubí. Piso con 2 habitaciones con ascensor y calefacción,Terrassa,Segle XX,Piso de 65 m2 situado en carretera de Rubí. El piso cuenta con dos habitaciones. Cocina equipada. Comedor con salida a...,65,2,1,11,750
Alquiler Casa  Carrer de salvador busquets. Casa con 4 habitaciones con parking y calefacción,Terrassa,Vallparadís,NO SE ADMITEN MASCOTAS.Casa con un solo vecino. Superficie 160m2. Primera planta: Habitación suite exterior con baño de...,160,4,3,8,1.300
"Alquiler Piso  Rambla del celler. Piso con 3 habitaciones con ascensor, parking, calefacción y air",Sant Cugat del Vallès,El Coll,"Torreblanca – Precioso piso de 115m2, con amplios espacios y muy luminoso, orientado a sur! Muy buena ubicación con vist...",115,3,2,12,1.450
Alquiler Casa  en  Les Planes-Sol i Aire. Casa en alquiler temporal en la floresta,Sant Cugat del Vallès,Les Planes-Sol i Aire,ALQUILER TEMPORAL  Esta única y exclusiva casa de carácter romántico y relajante está construida en una gran parcela d...,285,4,2,21,6.000
Alquiler Piso  Carrer de la font vella. Piso con 2 habitaciones,Terrassa,Centre,Piso totalmente reformado de 85 m2 en pleno centro peatonal de Terrassa. Comedor de 23 m2 con salida a terraza de 15 m2...,100,2,1,8,890
Alquiler Piso  Lavoisier,Terrassa,La Cogullada,"HABITAT GESTIÓ 18 ofrece piso de 68 m2 con parking y semi equipado.  Formado por 2 habitaciones, 1 doble y una individ...",68,2,1,10,690
Alquiler Dúplex  en  Colomer. Fantástico ático-dúplex en el parc central,Sant Cugat del Vallès,Colomer,"Ático-Dúplex situado en uno de los mejores barrios de Sant Cugat del Valles, ambiente familiar, en plena naturaleza junt...",130,3,2,12,1.650
Alquiler Chalet  en  Valldoreix. Casa en excelentes condiciones de 6 dormitorios con 341 m² terra,Sant Cugat del Vallès,Valldoreix,Lucas Fox presenta esta elegante y acogedora vivienda ubicada en una exclusiva urbanización de cinco casas que se encuen...,641,6,5,9,5.900
Alquiler Casa  en  Valldoreix. Casa en alquiler temporal de 320 m² construidos y 210m2 útiles,Sant Cugat del Vallès,Valldoreix,"Casa en alquiler temporal de 320 m² construidos y 210m2 útiles  en Valldoreix, con piscina y jardín. La casa tiene 5 hab...",210,5,4,22,4.800
Alquiler Dúplex  en  Colomer. Fantástico ático-dúplex en el parc central.,Sant Cugat del Vallès,Colomer,"Ático-Dúplex situado en uno de los mejores barrios de Sant Cugat del Valles, ambiente familiar, en plena naturaleza junt...",130,3,2,12,1.650
Alquiler Casa  en  Colomer. Casa en alquiler en parc central. corta estancia,Sant Cugat del Vallès,Colomer,"Esta amplia y soleada casa independiente, que se alquila mediante contrato ""CORTA ESTANCIA"", se encuentra en el corazón...",180,4,3,15,2.800
Alquiler Ático  en  Volpelleres. Piso amueblado,Sant Cugat del Vallès,Volpelleres,AMUEBLADO. Fantástico y amplio piso en Volpelleres. Consta de 91m2 con 3 habitaciones exteriores (dos dobles con armario...,129,3,2,10,1.400
Alquiler Casa  en  Mira-sol. Casa unifamiliar temporal muy espaciosa en mirasol,Sant Cugat del Vallès,Mira-sol,"Esta fantástica unifamiliar temporal amueblada, de obra vista situada en Mirasol, consta de 241m2 construidos en una sup...",241,5,3,14,3.400
Alquiler Piso  Carretera sentmenat. Alquiler en el centro de castellar del valles,Castellar del Vallès,Poble,NOVA CASA comercializa el ALQUILER de este inmueble situado en el centro de Castellar del Valles. El inmueble de 100 m2...,100,4,2,8,800
Alquiler Casa  Sant joan,Matadepera,,"Se alquila planta baja en Can Marcet, casa considerada Patrimonio Cultural de interés local.  La familia Marcet, en el...",201,3,2,7,1.600
Alquiler Piso  Passatge del rosselló. Piso con 3 habitaciones con ascensor y aire acondicionado,Sant Cugat del Vallès,Centre - Estació,"Bonito piso en alquiler de setenta y dos metros cuadrados con calefacción, aire acondicionado y suelos de parqué.  Sit...",72,3,1,13,980
Alquiler Piso  Ullastrell,Terrassa,Sant Pere Nord,"Coqueto piso semi-nuevo de 35 m² en Sant Pere Nord, Terrassa. La zona de día consta de un salón comedor con cocina amer...",35,1,1,15,550
"Alquiler Piso  Avinguda de barberà. Av. barberà   - ¡¡¡piso con amplio balcón, ascensor y plaza apar",Sabadell,Eixample-Sant Oleguer,"GESFIME ASESORES INMOBILIARIOS comercializa el alquiler de piso situado en plena Avinguda Barberà, a tan sólo cinco minu...",45,1,1,15,700
Alquiler Ático  Brutau,Sabadell,Eixample-Sant Oleguer,"ATICO DE 3 HAB. EN PERFECTO ESTADO!  Atena Habitat pone en alquiler este Ático de 115 m² construidos, en perfecto esta...",115,3,2,7,825
"Alquiler Ático  en  Escoles. Atico en alquiler en zona escoles, 4 dormitorios.",Terrassa,Escoles,"Espectacular ático de 169m2 con terraza. La vivienda consta de 4 habitaciones, dos de ellas dobles y dos individuales, u...",169,4,2,5,950
Alquiler Casa adosada  en  Eixample. Maravillosa casa adosada en sant cugat,Sant Cugat del Vallès,Eixample,"En residencial con Piscina comunitaria encontramos este chatet adosado muy bien distribuido, en planta baja tenemos un a...",337,4,4,10,3.600
Alquiler Piso  en  Centre. Piso con 3 habitaciones con ascensor y calefacción,Sabadell,Centre,"NO se atienden llamadas, enviar solicitud y nos pondremos en contacto.  RECIÉN PINTADO ! Piso semi nuevo de 77,90m2 ú...",77,3,1,11,850
"Alquiler Piso  De l'estatut. Este piso se encuentra  en la zona del avda. de l estatut, en la",Rubí,La Serreta,"Este piso se encuentra  en la zona del Avda. de l Estatut, en la planta 1.  Es exterior. Recién pintado y con algunos el...",55,2,1,13,725
"Alquiler Casa adosada  en  Egara. Casa adosada en alquiler en egara, 3 dormitorios.",Terrassa,Egara,"Bonita casa unifamiliar adosada de 167m2 con garaje y patio. La vivienda consta de 3 habitaciones, una de ellas doble y...",167,3,3,6,1.050
"Alquiler Ático  en  Parc Central. Ático con 2 habitaciones con ascensor, parking y aire acondicion",Sant Cugat del Vallès,Parc Central,"Parc Central – Exclusivo ático a 3 vientos de 104m2, totalmente reformado de diseño y con gran terraza al mismo nivel! Z...",104,2,2,17,1.790
Alquiler Piso  Carrer de josep renom. Acogedor piso cerca del corte inles,Sabadell,Centre,"BONITO PISO EN EL CENTRO DE LA CIUDAD, MUY CERCA DE TODOS LOS SERVICIOS Y A 500M DEL CORTE INGÉS,  CONSTA DE   98M2 APR...",98,3,2,9,923
Alquiler Casa  en  La Cogullada. Casa reformada en planta baja con patio y terraza,Terrassa,La Cogullada,"Eficàcia.cat assessoria ofrece casa totalmente reformada de planta baja con patio y terraza en Terrassa, en la zona de L...",88,2,1,9,800
"Alquiler Planta baja  en  Turó de Can Mates-Carretera de Rubí. Planta baja con 2 habitaciones con ascensor, parking, calefacció",Sant Cugat del Vallès,Turó de Can Mates-Carretera de Rubí,"Planta baja de 78m2 con espectacular jardín privado esquinero de 135m2, orientado a sur! Muy buena ubicación a sólo unos...",78,2,1,18,1.450
Alquiler Casa  en  Golf-Can Trabal. Espectacular casa de diseño de 650m en gran parcela de 900m en c,Sant Cugat del Vallès,Golf-Can Trabal,"Espectacular casa de diseño de 650m en gran parcela de 900m en Can Trabal, una de las mejores zonas de Sant Cugat. La v...",650,6,6,9,6.000
Alquiler Piso  en  Centre. Este piso tiene muchas de las características más solicitadas pa,Terrassa,Centre,"Un piso grande, en el centro, que goza de tranquilidad, con parking y junto a la Rambla.  Este piso tiene muchas de las...",116,4,2,7,860
Alquiler Piso  en  Carrer de latorre 69,Sabadell,Eixample-Sant Oleguer,Piso con dos habitaciones y dos baños en la calle Latorre de Sabadell. El piso incluye el uso privativo de un trastero e...,60,2,2,12,775
"Alquiler Ático  en  Escoles. Atico en alquiler en zona escoles, 3 dormitorios.",Terrassa,Escoles,"REF.784- Bonito ático reformado de 79m2. Dispone de 3 habitaciones, dos de ellas dobles y una individual, cocina indepen...",79,3,1,10,800
"Alquiler Casa  en  Golf-Can Trabal. Casa en venta y alquiler en sant cugat del vallès, con 650 m2, 6",Sant Cugat del Vallès,Golf-Can Trabal,"Espectacular casa de diseño de 650m en gran parcela de 900m en Can Trabal, una de las mejores zonas de Sant Cugat. La vi...",650,6,6,9,6.000
Alquiler Casa adosada  en  La Maurina. Casa adosada en vallparadis,Terrassa,La Maurina,Chalet adosado en paseo del vint-i-dos de juliol Casa con jardín con reforma integral lista para entrar a vivir. La ca...,160,5,2,11,1.890
